datum,atc_code,daily_sales,date,medicine_name,past_7_day_sales,past_30_day_avg_sales,next_7_day_demand,month,live_temp,live_humidity,is_rainy,fever_trend,cold_trend,dengue_trend,allergy_trend,current_stock,days_to_expiry,price_per_unit
2/1/2014,M01AB,4.33,2014-02-01,Diclofenac,30.02,4.256333333333333,26.65,2,25.74507122951685,47.56720596258252,0,28,92,8,31,146,317,150
2/2/2014,M01AB,7.0,2014-02-02,Diclofenac,28.35,4.400666666666667,25.65,2,24.792603548243225,43.57512988643587,0,37,68,0,26,125,72,150
2/3/2014,M01AB,5.0,2014-02-03,Diclofenac,31.02,4.367333333333334,22.65,2,25.97153280715104,42.558084612328464,0,23,86,10,23,72,69,150
2/4/2014,M01AB,1.33,2014-02-04,Diclofenac,31.68,4.467333333333333,22.65,2,27.284544784612038,43.170291879152394,0,20,74,3,12,133,192,150
2/5/2014,M01AB,3.0,2014-02-05,Diclofenac,27.009999999999998,4.378333333333333,31.32,2,24.648769937914995,40.663169397670316,0,36,93,19,16,94,156,150
2/6/2014,M01AB,3.33,2014-02-06,Diclofenac,24.68,4.3116666666666665,37.32,2,24.648794564576228,45.121286819500405,0,16,77,4,19,13,355,150
2/7/2014,M01AB,2.66,2014-02-07,Diclofenac,24.99,4.422666666666667,38.31999999999999,2,27.368819223261088,42.681979828018626,0,23,63,3,12,104,32,150
2/8/2014,M01AB,3.33,2014-02-08,Diclofenac,26.65,4.333666666666667,39.66,2,26.151152093729362,47.35889469270084,0,25,93,7,19,73,138,150
2/9/2014,M01AB,4.0,2014-02-09,Diclofenac,25.65,4.211333333333333,37.33,2,24.295788421097573,46.92016824309875,0,39,80,4,12,93,272,150
2/10/2014,M01AB,5.0,2014-02-10,Diclofenac,22.65,4.178,33.33,2,25.813840065378947,50.06447115870837,0,31,77,5,28,19,33,150
2/11/2014,M01AB,10.0,2014-02-11,Diclofenac,22.65,4.178,35.67,2,24.304873460781305,46.09898245062323,0,22,94,8,25,35,48,150
2/12/2014,M01AB,9.0,2014-02-12,Diclofenac,31.32,4.4446666666666665,33.010000000000005,2,24.301405369644616,46.56203330124022,0,15,66,7,15,103,206,150
2/13/2014,M01AB,4.33,2014-02-13,Diclofenac,37.32,4.5,27.340000000000003,2,25.36294340734905,49.200299435483444,0,32,93,2,10,78,165,150
2/14/2014,M01AB,4.0,2014-02-14,Diclofenac,38.31999999999999,4.444333333333333,30.009999999999998,2,22.130079633013302,43.11701191191991,0,24,61,0,25,57,163,150
2/15/2014,M01AB,1.0,2014-02-15,Diclofenac,39.66,4.444333333333333,32.01,2,22.41262325123045,40.535225361530905,0,14,75,17,28,62,178,150
2/16/2014,M01AB,0.0,2014-02-16,Diclofenac,37.33,4.277666666666666,38.01,2,24.15656870613854,45.60028217738518,0,26,87,5,21,86,127,150
2/17/2014,M01AB,7.34,2014-02-17,Diclofenac,33.33,4.211,39.01,2,23.480753319498366,40.73209959235679,0,14,89,7,14,31,82,150
2/18/2014,M01AB,7.34,2014-02-18,Diclofenac,35.67,4.422333333333333,38.67,2,25.471370998892912,52.36181601877617,0,34,90,0,32,85,76,150
2/19/2014,M01AB,3.33,2014-02-19,Diclofenac,33.010000000000005,4.522666666666666,36.33,2,23.637963886718182,49.36649487623683,0,27,67,3,33,144,105,150
2/20/2014,M01AB,7.0,2014-02-20,Diclofenac,27.340000000000003,4.433666666666667,38.0,2,22.88154444799706,51.49192899990474,0,19,94,9,31,52,71,150
2/21/2014,M01AB,6.0,2014-02-21,Diclofenac,30.009999999999998,4.600333333333333,34.0,2,27.19847315338233,45.18734092998939,0,28,66,16,20,34,185,150
2/22/2014,M01AB,7.0,2014-02-22,Diclofenac,32.01,4.566999999999999,35.0,2,24.661335549270195,46.65172078110479,0,11,77,17,33,90,36,150
2/23/2014,M01AB,1.0,2014-02-23,Diclofenac,38.01,4.667,34.34,2,25.101292307031887,43.621573704142065,0,30,80,10,30,57,194,150
2/24/2014,M01AB,7.0,2014-02-24,Diclofenac,39.01,4.544666666666667,36.68,2,22.862877720679815,47.648774416760254,0,25,63,1,22,61,155,150
2/25/2014,M01AB,5.0,2014-02-25,Diclofenac,38.67,4.578,33.68,2,24.183425913212226,41.35337036384683,0,30,91,17,26,75,199,150
2/26/2014,M01AB,5.0,2014-02-26,Diclofenac,36.33,4.600333333333333,34.02,2,25.166383884564798,37.37072043157566,0,22,75,18,18,100,99,150
2/27/2014,M01AB,3.0,2014-02-27,Diclofenac,38.0,4.622333333333334,32.36,2,23.273509633866546,42.6278681415343,0,37,77,2,34,111,324,150
2/28/2014,M01AB,7.0,2014-02-28,Diclofenac,34.0,4.522333333333334,32.36,2,25.563547027518506,40.633579573148054,0,30,93,18,28,43,94,150
3/1/2014,M01AB,6.34,2014-03-01,Diclofenac,35.0,4.578,29.36,3,29.099041965121792,44.43378020847861,0,31,29,19,76,92,138,150
3/2/2014,M01AB,3.34,2014-03-02,Diclofenac,34.34,4.688666666666666,27.36,3,29.562459375310084,45.44703236524095,0,28,44,6,76,57,94,150
3/3/2014,M01AB,4.0,2014-03-03,Diclofenac,36.68,4.766666666666667,25.020000000000003,3,29.097440081655904,35.79121278276067,0,33,24,1,71,85,312,150
3/4/2014,M01AB,5.34,2014-03-04,Diclofenac,33.68,4.755666666666667,27.700000000000003,3,32.778417276763406,43.87514682256372,0,12,14,2,54,138,82,150
3/5/2014,M01AB,3.34,2014-03-05,Diclofenac,34.02,4.700333333333333,28.36,3,29.979754162893098,42.85415495050231,0,27,30,7,60,17,90,150
3/6/2014,M01AB,3.0,2014-03-06,Diclofenac,32.36,4.645,31.36,3,28.41343360656615,35.29066994584337,0,34,20,7,58,50,57,150
3/7/2014,M01AB,4.0,2014-03-07,Diclofenac,32.36,4.700666666666666,30.67,3,31.233817368154785,38.82919740720514,0,23,16,2,52,47,227,150
3/8/2014,M01AB,4.34,2014-03-08,Diclofenac,29.36,4.733999999999999,31.01,3,28.168734525043465,38.25950883362644,0,31,21,6,69,80,180,150
3/9/2014,M01AB,1.0,2014-03-09,Diclofenac,27.36,4.767666666666667,30.67,3,30.313295392507133,42.2439861958816,0,16,13,2,79,131,246,150
3/10/2014,M01AB,6.68,2014-03-10,Diclofenac,25.020000000000003,4.7123333333333335,32.35,3,27.060494814180338,36.313661947284956,0,39,32,18,53,40,72,150
3/11/2014,M01AB,6.0,2014-03-11,Diclofenac,27.700000000000003,4.824,34.35,3,28.007720926652354,39.703382123021555,0,21,35,4,72,113,189,150
3/12/2014,M01AB,6.34,2014-03-12,Diclofenac,28.36,4.890666666666666,36.35,3,30.295291853803686,37.94219648815115,0,26,11,17,66,148,314,150
3/13/2014,M01AB,2.31,2014-03-13,Diclofenac,31.36,4.935333333333333,34.01,3,31.107699869993116,41.42002355015543,0,21,25,11,53,106,199,150
3/14/2014,M01AB,4.34,2014-03-14,Diclofenac,30.67,4.679,34.7,3,30.257052421784955,39.34962390493621,0,39,43,9,65,35,163,150
