date,medicine_name,category,past_7_day_sales,past_30_day_avg_sales,current_stock,days_to_expiry,price_per_unit,daily_sales_real,next_7_day_demand,month,live_temp,live_humidity,is_rainy,fever_trend,allergy_trend
2014-01-03,Alprazolam,N05B,7.0,7.0,107,358,269,16.0,31.0,1,26.92,83,0,56,0
2014-01-04,Alprazolam,N05B,23.0,11.5,91,369,58,10.0,45.0,1,26.92,83,0,56,0
2014-01-05,Alprazolam,N05B,33.0,11.0,68,157,17,8.0,53.0,1,26.92,83,0,56,0
2014-01-06,Alprazolam,N05B,41.0,10.25,66,49,219,16.0,62.0,1,26.92,83,0,56,0
2014-01-07,Alprazolam,N05B,57.0,11.4,0,377,192,0.0,68.0,1,26.92,83,0,56,0
2014-01-08,Alprazolam,N05B,57.0,9.5,179,285,203,19.0,80.0,1,26.92,83,0,56,0
2014-01-09,Alprazolam,N05B,76.0,10.857142857142858,46,389,223,16.0,83.0,1,26.92,83,0,56,0
2014-01-10,Alprazolam,N05B,85.0,11.5,55,26,82,15.0,83.0,1,26.92,83,0,56,0
2014-01-11,Alprazolam,N05B,84.0,11.88888888888889,63,202,236,14.0,84.0,1,26.92,83,0,56,0
2014-01-12,Alprazolam,N05B,88.0,12.1,33,119,199,8.0,80.0,1,26.92,83,0,56,0
2014-01-13,Alprazolam,N05B,88.0,11.727272727272727,56,306,274,9.0,89.0,1,26.92,83,0,56,0
2014-01-14,Alprazolam,N05B,81.0,11.5,43,80,98,6.0,98.0,1,26.92,83,0,56,0
2014-01-15,Alprazolam,N05B,87.0,11.076923076923077,108,101,257,12.0,96.0,1,26.92,83,0,56,0
2014-01-16,Alprazolam,N05B,80.0,11.142857142857142,105,245,64,19.0,79.0,1,26.92,83,0,56,0
2014-01-17,Alprazolam,N05B,83.0,11.666666666666666,125,304,75,15.0,77.0,1,26.92,83,0,56,0
2014-01-18,Alprazolam,N05B,83.0,11.875,98,286,76,15.0,80.0,1,26.92,83,0,56,0
2014-01-19,Alprazolam,N05B,84.0,12.058823529411764,30,274,241,4.0,80.0,1,26.92,83,0,56,0
2014-01-20,Alprazolam,N05B,80.0,11.61111111111111,123,315,226,18.0,79.0,1,26.92,83,0,56,0
2014-01-21,Alprazolam,N05B,89.0,11.947368421052632,150,106,257,15.0,86.0,1,26.92,83,0,56,0
2014-01-22,Alprazolam,N05B,98.0,12.1,77,125,45,10.0,86.0,1,26.92,83,0,56,0
2014-01-23,Alprazolam,N05B,96.0,12.0,15,153,281,2.0,91.0,1,26.92,83,0,56,0
2014-01-24,Alprazolam,N05B,79.0,11.545454545454545,74,306,218,13.0,87.0,1,26.92,83,0,56,0
2014-01-25,Alprazolam,N05B,77.0,11.608695652173912,210,132,286,18.0,82.0,1,26.92,83,0,56,0
2014-01-26,Alprazolam,N05B,80.0,11.875,36,239,282,4.0,84.0,1,26.92,83,0,56,0
2014-01-27,Alprazolam,N05B,80.0,11.56,53,326,79,17.0,83.0,1,26.92,83,0,56,0
2014-01-28,Alprazolam,N05B,79.0,11.76923076923077,129,44,341,22.0,69.0,1,26.92,83,0,56,0
2014-01-29,Alprazolam,N05B,86.0,12.148148148148149,56,343,124,10.0,74.0,1,26.92,83,0,56,0
2014-01-30,Alprazolam,N05B,86.0,12.071428571428571,36,13,19,7.0,84.0,1,26.92,83,0,56,0
2014-01-31,Alprazolam,N05B,91.0,11.89655172413793,92,159,64,9.0,94.0,1,26.92,83,0,56,0
2014-02-01,Alprazolam,N05B,87.0,11.8,116,59,322,13.0,94.0,2,26.92,83,0,56,0
2014-02-02,Alprazolam,N05B,82.0,12.0,39,273,270,6.0,98.0,2,26.92,83,0,56,0
2014-02-03,Alprazolam,N05B,84.0,11.666666666666666,141,279,83,16.0,102.0,2,26.92,83,0,56,0
2014-02-04,Alprazolam,N05B,83.0,11.866666666666667,64,49,23,8.0,114.0,2,26.92,83,0,56,0
2014-02-05,Alprazolam,N05B,69.0,11.866666666666667,74,166,57,15.0,108.0,2,26.92,83,0,56,0
2014-02-06,Alprazolam,N05B,74.0,11.833333333333334,153,170,148,17.0,104.0,2,26.92,83,0,56,0
2014-02-07,Alprazolam,N05B,84.0,12.4,212,63,206,19.0,98.0,2,26.92,83,0,56,0
2014-02-08,Alprazolam,N05B,94.0,12.4,91,252,349,13.0,94.0,2,26.92,83,0,56,0
2014-02-09,Alprazolam,N05B,94.0,12.3,39,375,182,10.0,89.0,2,26.92,83,0,56,0
2014-02-10,Alprazolam,N05B,98.0,12.133333333333333,200,342,299,20.0,82.0,2,26.92,83,0,56,0
2014-02-11,Alprazolam,N05B,102.0,12.333333333333334,84,372,37,20.0,76.0,2,26.92,83,0,56,0
2014-02-12,Alprazolam,N05B,114.0,12.733333333333333,77,400,154,9.0,84.0,2,26.92,83,0,56,0
2014-02-13,Alprazolam,N05B,108.0,12.733333333333333,88,184,140,13.0,87.0,2,26.92,83,0,56,0
2014-02-14,Alprazolam,N05B,104.0,12.966666666666667,103,192,187,13.0,91.0,2,26.92,83,0,56,0
2014-02-15,Alprazolam,N05B,98.0,13.0,75,373,229,9.0,94.0,2,26.92,83,0,56,0
2014-02-16,Alprazolam,N05B,94.0,12.666666666666666,31,144,243,5.0,99.0,2,26.92,83,0,56,0
2014-02-17,Alprazolam,N05B,89.0,12.333333333333334,97,56,270,13.0,90.0,2,26.92,83,0,56,0
2014-02-18,Alprazolam,N05B,82.0,12.266666666666667,85,91,297,14.0,89.0,2,26.92,83,0,56,0
2014-02-19,Alprazolam,N05B,76.0,12.6,75,286,58,17.0,77.0,2,26.92,83,0,56,0
2014-02-20,Alprazolam,N05B,84.0,12.566666666666666,167,396,331,16.0,69.0,2,26.92,83,0,56,0
2014-02-21,Alprazolam,N05B,87.0,12.6,79,202,277,17.0,64.0,2,26.92,83,0,56,0
2014-02-22,Alprazolam,N05B,91.0,12.833333333333334,82,368,224,12.0,60.0,2,26.92,83,0,56,0
2014-02-23,Alprazolam,N05B,94.0,13.166666666666666,69,396,302,10.0,52.0,2,26.92,83,0,56,0
2014-02-24,Alprazolam,N05B,99.0,13.066666666666666,29,215,64,4.0,49.0,2,26.92,83,0,56,0
2014-02-25,Alprazolam,N05B,90.0,12.6,93,18,124,13.0,45.0,2,26.92,83,0,56,0
2014-02-26,Alprazolam,N05B,89.0,12.9,38,182,262,5.0,44.0,2,26.92,83,0,56,0
2014-02-27,Alprazolam,N05B,77.0,12.5,38,33,175,8.0,53.0,2,26.92,83,0,56,0
2014-02-28,Alprazolam,N05B,69.0,12.033333333333333,109,66,121,12.0,44.0,2,26.92,83,0,56,0
2014-03-01,Alprazolam,N05B,64.0,12.1,48,213,49,8.0,47.0,3,26.92,83,0,56,0
2014-03-02,Alprazolam,N05B,60.0,12.133333333333333,13,71,275,2.0,48.0,3,26.92,83,0,56,0
2014-03-03,Alprazolam,N05B,52.0,11.9,3,337,31,1.0,58.0,3,26.92,83,0,56,0
2014-03-04,Alprazolam,N05B,49.0,11.5,77,193,81,9.0,61.0,3,26.92,83,0,56,0
2014-03-05,Alprazolam,N05B,45.0,11.6,18,298,254,4.0,79.0,3,26.92,83,0,56,0
2014-03-06,Alprazolam,N05B,44.0,11.2,159,220,18,17.0,72.0,3,26.92,83,0,56,0
2014-03-07,Alprazolam,N05B,53.0,11.5,26,308,223,3.0,80.0,3,26.92,83,0,56,0
2014-03-08,Alprazolam,N05B,44.0,11.1,52,319,43,11.0,87.0,3,26.92,83,0,56,0
2014-03-09,Alprazolam,N05B,47.0,10.9,29,151,67,3.0,90.0,3,26.92,83,0,56,0
2014-03-10,Alprazolam,N05B,48.0,10.366666666666667,115,345,162,11.0,85.0,3,26.92,83,0,56,0
2014-03-11,Alprazolam,N05B,58.0,10.3,80,242,202,12.0,82.0,3,26.92,83,0,56,0
2014-03-12,Alprazolam,N05B,61.0,10.366666666666667,139,160,78,22.0,62.0,3,26.92,83,0,56,0
2014-03-13,Alprazolam,N05B,79.0,10.433333333333334,33,363,96,10.0,57.0,3,26.92,83,0,56,0
2014-03-14,Alprazolam,N05B,72.0,10.1,86,190,80,11.0,50.0,3,26.92,83,0,56,0
2014-03-15,Alprazolam,N05B,80.0,10.166666666666666,131,81,97,18.0,42.0,3,26.92,83,0,56,0
2014-03-16,Alprazolam,N05B,87.0,10.333333333333334,26,46,161,6.0,36.0,3,26.92,83,0,56,0
2014-03-17,Alprazolam,N05B,90.0,10.1,62,340,301,6.0,37.0,3,26.92,83,0,56,0
2014-03-18,Alprazolam,N05B,85.0,10.0,50,192,79,9.0,35.0,3,26.92,83,0,56,0
2014-03-19,Alprazolam,N05B,82.0,10.133333333333333,15,395,173,2.0,40.0,3,26.92,83,0,56,0
2014-03-20,Alprazolam,N05B,62.0,9.766666666666667,43,325,123,5.0,41.0,3,26.92,83,0,56,0
2014-03-21,Alprazolam,N05B,57.0,9.466666666666667,34,150,122,4.0,40.0,3,26.92,83,0,56,0
2014-03-22,Alprazolam,N05B,50.0,9.033333333333333,105,43,160,10.0,38.0,3,26.92,83,0,56,0
2014-03-23,Alprazolam,N05B,42.0,8.833333333333334,1,154,293,0.0,42.0,3,26.92,83,0,56,0
2014-03-24,Alprazolam,N05B,36.0,8.266666666666667,38,16,148,7.0,41.0,3,26.92,83,0,56,0
2014-03-25,Alprazolam,N05B,37.0,8.1,27,252,271,7.0,39.0,3,26.92,83,0,56,0
2014-03-26,Alprazolam,N05B,35.0,8.0,21,244,17,7.0,33.0,3,26.92,83,0,56,0
2014-03-27,Alprazolam,N05B,40.0,8.1,24,86,299,6.0,31.0,3,26.92,83,0,56,0
2014-03-28,Alprazolam,N05B,41.0,7.866666666666666,15,211,290,3.0,37.0,3,26.92,83,0,56,0
2014-03-29,Alprazolam,N05B,40.0,7.8,29,321,345,8.0,34.0,3,26.92,83,0,56,0
2014-03-30,Alprazolam,N05B,38.0,7.8,38,20,286,4.0,31.0,3,26.92,83,0,56,0
2014-03-31,Alprazolam,N05B,42.0,7.533333333333333,35,306,184,6.0,29.0,3,26.92,83,0,56,0
2014-04-01,Alprazolam,N05B,41.0,7.466666666666667,28,227,117,5.0,30.0,4,26.92,83,0,56,0
2014-04-02,Alprazolam,N05B,39.0,7.566666666666666,2,250,165,1.0,31.0,4,26.92,83,0,56,0
2014-04-03,Alprazolam,N05B,33.0,7.566666666666666,16,61,88,4.0,37.0,4,26.92,83,0,56,0
2014-04-04,Alprazolam,N05B,31.0,7.4,52,294,129,9.0,30.0,4,26.92,83,0,56,0
2014-04-05,Alprazolam,N05B,37.0,7.566666666666666,58,137,157,5.0,44.0,4,26.92,83,0,56,0
2014-04-06,Alprazolam,N05B,34.0,7.166666666666667,6,45,248,1.0,46.0,4,26.92,83,0,56,0
2014-04-07,Alprazolam,N05B,31.0,7.1,45,277,245,4.0,52.0,4,26.92,83,0,56,0
2014-04-08,Alprazolam,N05B,29.0,6.866666666666666,53,290,159,6.0,58.0,4,26.92,83,0,56,0
2014-04-09,Alprazolam,N05B,30.0,6.966666666666667,12,367,52,2.0,57.0,4,26.92,83,0,56,0
2014-04-10,Alprazolam,N05B,31.0,6.666666666666667,86,212,300,10.0,66.0,4,26.92,83,0,56,0
