date,medicine_name,category,past_7_day_sales,past_30_day_avg_sales,current_stock,days_to_expiry,price_per_unit,daily_sales_real
2014-01-02,Diclofenac,M01AB,1,0,1,239,233,0.0
2014-01-03,Diclofenac,M01AB,50,240,37,249,165,8.0
2014-01-04,Diclofenac,M01AB,12,60,11,160,336,2.0
2014-01-05,Diclofenac,M01AB,32,120,28,393,64,4.0
2014-01-06,Diclofenac,M01AB,29,150,41,363,322,5.0
2014-01-07,Diclofenac,M01AB,1,0,1,232,107,0.0
2014-01-08,Diclofenac,M01AB,44,159,48,396,104,5.33
2014-01-09,Diclofenac,M01AB,40,210,42,126,129,7.0
2014-01-10,Diclofenac,M01AB,30,150,39,275,126,5.0
2014-01-11,Diclofenac,M01AB,32,150,45,296,127,5.0
2014-01-12,Diclofenac,M01AB,14,60,9,375,272,2.0
2014-01-13,Diclofenac,M01AB,49,220,65,248,154,7.34
2014-01-14,Diclofenac,M01AB,35,180,46,218,324,6.0
2014-01-15,Diclofenac,M01AB,24,120,15,277,336,4.0
2014-01-16,Diclofenac,M01AB,43,180,30,345,57,6.0
2014-01-17,Diclofenac,M01AB,14,60,14,211,149,2.0
2014-01-18,Diclofenac,M01AB,7,30,3,246,23,1.0
2014-01-19,Diclofenac,M01AB,36,129,33,21,80,4.33
2014-01-20,Diclofenac,M01AB,43,180,41,318,52,6.0
2014-01-21,Diclofenac,M01AB,16,60,14,141,84,2.0
2014-01-22,Diclofenac,M01AB,41,210,30,320,91,7.0
2014-01-23,Diclofenac,M01AB,26,120,36,307,109,4.0
2014-01-24,Diclofenac,M01AB,35,140,18,400,258,4.67
2014-01-25,Diclofenac,M01AB,39,180,48,152,283,6.0
2014-01-26,Diclofenac,M01AB,25,129,21,203,111,4.33
2014-01-27,Diclofenac,M01AB,32,130,22,90,80,4.34
2014-01-28,Diclofenac,M01AB,45,180,65,236,235,6.0
2014-01-29,Diclofenac,M01AB,30,159,23,377,318,5.33
2014-01-30,Diclofenac,M01AB,18,90,24,340,253,3.02
2014-01-31,Diclofenac,M01AB,5,30,3,218,107,1.0
2014-02-01,Diclofenac,M01AB,32,129,35,200,156,4.33
2014-02-02,Diclofenac,M01AB,55,210,42,315,134,7.0
2014-02-03,Diclofenac,M01AB,33,150,20,260,166,5.0
2014-02-04,Diclofenac,M01AB,9,39,12,374,337,1.33
2014-02-05,Diclofenac,M01AB,24,90,26,13,93,3.0
2014-02-06,Diclofenac,M01AB,22,99,27,84,182,3.33
2014-02-07,Diclofenac,M01AB,20,79,22,346,264,2.66
2014-02-08,Diclofenac,M01AB,27,99,38,240,196,3.33
2014-02-09,Diclofenac,M01AB,24,120,34,96,128,4.0
2014-02-10,Diclofenac,M01AB,38,150,34,229,114,5.0
2014-02-11,Diclofenac,M01AB,81,300,52,92,337,10.0
2014-02-12,Diclofenac,M01AB,71,270,79,162,289,9.0
2014-02-13,Diclofenac,M01AB,30,129,43,190,193,4.33
2014-02-14,Diclofenac,M01AB,29,120,25,300,145,4.0
2014-02-15,Diclofenac,M01AB,7,30,6,173,312,1.0
2014-02-16,Diclofenac,M01AB,1,0,0,359,349,0.0
2014-02-17,Diclofenac,M01AB,43,220,24,81,347,7.34
2014-02-18,Diclofenac,M01AB,50,220,61,33,105,7.34
2014-02-19,Diclofenac,M01AB,27,99,31,355,266,3.33
2014-02-20,Diclofenac,M01AB,47,210,39,84,200,7.0
2014-02-21,Diclofenac,M01AB,46,180,46,185,298,6.0
2014-02-22,Diclofenac,M01AB,50,210,71,132,91,7.0
2014-02-23,Diclofenac,M01AB,7,30,8,325,81,1.0
2014-02-24,Diclofenac,M01AB,48,210,41,75,207,7.0
2014-02-25,Diclofenac,M01AB,41,150,29,145,330,5.0
2014-02-26,Diclofenac,M01AB,33,150,41,198,173,5.0
2014-02-27,Diclofenac,M01AB,22,90,17,221,27,3.0
2014-02-28,Diclofenac,M01AB,39,210,25,284,49,7.0
2014-03-01,Diclofenac,M01AB,52,190,41,17,205,6.34
2014-03-02,Diclofenac,M01AB,25,100,33,54,138,3.34
2014-03-03,Diclofenac,M01AB,27,120,13,164,215,4.0
2014-03-04,Diclofenac,M01AB,39,160,21,199,349,5.34
2014-03-05,Diclofenac,M01AB,23,100,17,145,295,3.34
2014-03-06,Diclofenac,M01AB,20,90,27,156,138,3.0
2014-03-07,Diclofenac,M01AB,25,120,20,205,201,4.0
2014-03-08,Diclofenac,M01AB,24,130,28,392,336,4.34
2014-03-09,Diclofenac,M01AB,5,30,2,213,204,1.0
2014-03-10,Diclofenac,M01AB,48,200,71,81,343,6.68
2014-03-11,Diclofenac,M01AB,41,180,38,359,93,6.0
2014-03-12,Diclofenac,M01AB,42,190,58,256,93,6.34
2014-03-13,Diclofenac,M01AB,17,69,24,110,185,2.31
2014-03-14,Diclofenac,M01AB,30,130,30,185,208,4.34
2014-03-15,Diclofenac,M01AB,25,120,30,366,191,4.0
2014-03-16,Diclofenac,M01AB,17,80,17,162,90,2.68
2014-03-17,Diclofenac,M01AB,59,260,65,44,348,8.68
2014-03-18,Diclofenac,M01AB,56,240,53,336,180,8.0
2014-03-19,Diclofenac,M01AB,27,120,15,157,110,4.0
2014-03-20,Diclofenac,M01AB,17,90,14,273,79,3.0
2014-03-21,Diclofenac,M01AB,43,180,28,104,234,6.0
2014-03-22,Diclofenac,M01AB,19,100,10,105,147,3.34
2014-03-23,Diclofenac,M01AB,50,190,27,398,211,6.34
2014-03-24,Diclofenac,M01AB,40,170,56,231,339,5.68
2014-03-25,Diclofenac,M01AB,32,120,16,230,181,4.0
2014-03-26,Diclofenac,M01AB,14,70,7,400,295,2.34
2014-03-27,Diclofenac,M01AB,25,120,18,19,199,4.0
2014-03-28,Diclofenac,M01AB,16,80,19,353,30,2.67
2014-03-29,Diclofenac,M01AB,26,120,36,78,184,4.0
2014-03-30,Diclofenac,M01AB,20,90,26,339,177,3.0
